year,Consumer_price_index ,GDP growth (annual %),oil price (usd per barrel),Exchange rate (pkr/USD),Foreign direct investment(usd),Imports of goods and services (% of GDP),External debt stocks (% of GNI),Broad money (% of GDP),Use of IMF Credit and Loans(millions dollars),Unemployment rate 
1983,6.3620335,6.778378339,26.19,13.116975,29457026.66,22.50848686,42.54216937,43.87686718,1540.25,3.85
1984,6.087166736,5.065205605,25.88,14.04633333,55510169.71,21.96797538,39.82120141,39.85505071,1469.2,3.75
1985,5.614839218,7.592114699,24.09,15.92839167,131389252.2,22.60455738,43.95056238,40.66128428,1288.51,3.65
1986,3.506414248,5.501653664,12.51,16.64750833,105730331.8,20.11050819,47.84582996,43.30970668,973.24,3.3
1987,4.681218546,6.452343025,15.4,17.3988,129377643.6,19.08768706,51.44270452,45.31105944,647.2,3.071
1988,8.837937018,7.62527878,12.58,18.00329167,186491557.3,19.42539781,45.33923067,41.36542052,411.43,3.142
1989,7.844264737,4.959768894,15.86,20.54149167,210599917.1,20.34972621,46.70883267,38.98096123,709.66,3.141
1990,9.052131553,4.458586815,20.03,21.707375,245262963.5,20.24585749,52.93146165,39.13710376,587.26,3.13
1991,11.79127034,5.061567759,16.54,23.80076667,258414487,18.48726239,52.55318707,39.04106408,746.37,5.85
1992,9.509041462,7.705897817,15.99,25.08279167,336479857.1,20.42381241,52.34281638,42.53000491,819.86,5.85
1993,9.97366476,1.757747698,14.25,28.10718333,348556957.8,22.29722226,48.81117298,45.36470216,816.5,4.73
1994,12.36819439,3.737415558,13.19,30.56659167,421024638.5,18.89934314,54.04296583,45.41029574,1096.834,4.84
1995,12.34357852,4.962609146,14.62,31.64268333,722631560.7,19.42278402,51.38610353,43.57084594,1114.954,5.37
1996,10.37380859,4.846581287,18.46,36.07868333,921976182.5,21.42702506,48.65438831,46.04129003,1000.509,5.37
1997,11.37549289,1.014396011,17.23,41.111525,716253125.4,20.77031288,49.95286672,48.20323748,979.546,6.12
1998,6.228004154,2.550234298,10.87,45.04666667,506000000,17.526934,53.98241656,47.1502314,996.0315,5.89
1999,4.142637181,3.660132739,15.56,49.50069158,532000000,16.96646348,55.89735484,44.82025634,1271.180666,5.89
2000,4.366664513,4.260088011,26.72,53.6481865,308000000,11.83034322,33.97105485,28.68950371,1197.707832,7.82
2001,3.148261446,3.651350171,21.84,61.92716167,378000000,12.95103576,34.07668024,29.87656299,1455.764998,7.82
2002,3.290344726,2.594816684,22.51,59.72378167,826000000,11.86605503,35.89883556,32.95857119,1506.354163,8.27
2003,2.914134701,5.401310873,27.56,57.75199667,534000000,12.48552221,33.62099861,35.5893433,1418.630161,8.27
2004,7.444624693,7.83125557,36.77,58.25786333,1118000000,13.38536671,28.40885162,36.58791183,1207.932163,7.69
2005,9.06332737,7.276574436,50.28,59.514475,2201000000,17.62665207,24.21055262,37.60115839,1044.026495,7.69
2006,7.921084401,6.051637676,59.69,60.271335,4273000000,20.50076882,23.69501811,47.80208658,971.995827,6.2
2007,7.598684411,4.44481434,66.52,60.73851583,5590000000,19.16280425,23.59588741,48.71594124,874.119163,5.2
2008,20.28612109,2.120441043,94.04,70.40803333,5438000000,22.47314197,25.31028506,45.81387792,2825.361,5.2
2009,13.64776506,3.472550596,56.35,81.71289167,2338000000,20.93589908,31.15965374,46.33915386,4780.937,5.46
2010,12.93887056,1.501717522,74.71,85.19381633,2022000000,19.35177607,32.82000315,47.29543524,5672.33501,5.55
2011,11.91609271,2.680116854,95.73,86.34338333,1326000000,18.88008341,28.60150422,44.55408388,5500.05101,5.95
2012,9.682351861,3.027583911,94.52,93.39519722,859000000,19.44500859,25.90684005,46.18634685,4010.874885,5.95
2013,7.692156119,4.36686505,95.99,101.6288992,1333000000,18.71277574,23.64729921,46.69871109,2331.269634,5.975
2014,7.189384028,4.116428172,87.39,101.1000884,1887000000,18.2748533,24.065567,46.66555029,2463.043255,6
2015,2.529328173,4.217942096,44.39,102.7692716,1673000000,16.71361359,23.27626012,48.09478971,3600,5.9
2016,3.765119164,6.573838285,38.29,104.769117,2576000000,15.96486227,24.39509932,50.80430961,4393,5.88
2017,4.08537368,4.432625907,48.05,105.4551621,2496000000,17.25042394,27.87567398,51.40771096,4393,5.832
2018,5.078057259,6.151702611,61.4,121.8240689,1737000000,19.04425666,28.57189656,51.22329355,4243,5.8
2019,10.5783618,2.497636929,55.59,150.0362538,2234000000,19.51471242,34.94382852,51.18358485,4867,6.9
2020,9.739993139,-1.274087443,36.86,161.8384797,2057000000,17.41772142,40.01593856,54.52638937,5192.5,6.562
2021,9.496210561,6.513885759,65.84,162.9062537,2147000000,17.9788211,38.02519814,51.26238684,4810.333334,6.3
2022,19.87385996,4.778106869,93.97,204.8671875,1462000000,22.49076283,34.54907824,46.12265617,5722.166668,6.2
2023,30.76812807,-0.039692523,76.1,280.3561117,2048000000,18.12037464,39.39438028,42.57173843,5660.125002,8.5
